drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
GLYCERYL TRINITRATE	98	62	36	0.45325077700118616	15234	63.3
IFOSFAMIDE	98	72	26	0.3920111198350936	8955	73.5
METAMIZOLE	98	29	69	-0.6251375693775824	11432	29.6
LISDEXAMFETAMINE	97	26	71	-0.5384226865502032	12937	26.8
IRBESARTAN	97	42	55	-0.06992104313595301	12543	43.3
EMPAGLIFLOZIN	96	58	38	0.152216881413083	8763	60.4
MERCAPTOPURINE	96	67	29	0.41420299287711826	6351	69.8
PRAMIPEXOLE	95	39	56	-0.12231989298846814	8859	41.1
MACITENTAN	95	52	43	0.025054679609892296	11454	54.7
TIRZEPATIDE	95	8	87	-0.579709672893117	25182	8.4
NALTREXONE	95	47	48	0.08767617006126616	18189	49.5
EZETIMIBE	94	38	56	-0.17070202099971013	7645	40.4
MIRABEGRON	94	71	23	0.7680741144470885	31844	75.5
CARFILZOMIB	93	65	28	0.34649880445282105	7325	69.9
FILGRASTIM	93	41	52	-0.11866010280990882	7357	44.1
TELAPREVIR	93	45	48	0.012550844862046726	13951	48.4
EXENATIDE	92	36	56	-0.19875980549317465	22354	39.1
GLYCOPYRRONIUM	91	35	56	-0.2773008871520535	9847	38.5
GLICLAZIDE	91	70	21	0.6859036308701282	12565	76.9
IXAZOMIB	90	60	30	0.24019714362028166	8897	66.7
BUPRENORPHINE;NALOXONE	90	28	62	-0.29083709643069583	10916	31.1
DOMPERIDONE	89	54	35	0.43140522630655126	26420	60.7
SIROLIMUS	89	63	26	0.48012875683668615	8460	70.8
ACETAMINOPHEN	89	58	31	0.5139955382389907	20287	65.2
PHENYTOIN	88	53	35	0.1687001505254332	5855	60.2
OXAZEPAM	88	57	31	0.411458897744048	15297	64.8
NOREPINEPHRINE	88	57	31	0.07185691454606863	11090	64.8
MELOXICAM	87	52	35	0.2444355070423681	14551	59.8
CEFUROXIME	87	29	58	-0.5239904229018233	9616	33.3
ZIPRASIDONE	87	39	48	-0.0695337457147196	10064	44.8
MORPHINE SULFATE	86	11	75	-0.6870630792131114	7786	12.8
ISONIAZID	85	64	21	0.509668890585712	8203	75.3
OSELTAMIVIR	84	28	56	-0.5527092288885592	11452	33.3
CALCIUM;VITAMIN D3	84	43	41	0.06374846224241383	13283	51.2
TERIPARATIDE	84	15	69	-0.4854379924598896	31560	17.9
ERLOTINIB	83	61	22	0.33532186766268535	7511	73.5
VARENICLINE	83	14	69	-0.5508193956627573	8083	16.9
RIFAMPICIN	83	65	18	0.43820271294834506	7335	78.3
PARACETAMOL;TRAMADOL	83	61	22	0.4188994092338019	11654	73.5
APREPITANT	83	53	30	0.5465947303203746	21867	63.9
IXEKIZUMAB	82	14	68	-0.5303634563793189	6161	17.1
