adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Toothache	38	38	5	33	13.2
Tooth disorder	38	38	7	31	18.4
Taste disorder	38	38	29	9	76.3
Kidney infection	38	38	6	32	15.8
Expired product administered	38	38	8	30	21.1
Substance abuse	38	38	33	5	86.8
Pulmonary alveolar haemorrhage	38	38	31	7	81.6
Retching	38	38	15	23	39.5
Device related infection	38	38	12	26	31.6
Bedridden	37	37	21	16	56.8
Pharyngitis	37	37	11	26	29.7
Skin reaction	37	37	13	24	35.1
Blood count abnormal	37	37	6	31	16.2
Abscess	37	37	17	20	45.9
Muscle tightness	37	37	12	25	32.4
Hiatus hernia	37	37	9	28	24.3
Convulsion	37	37	22	15	59.5
Electrocardiogram abnormal	37	37	15	22	40.5
Dermatitis bullous	37	37	26	11	70.3
Head discomfort	37	37	6	31	16.2
Hepatitis cholestatic	37	37	27	10	73.0
Gastroenteritis	37	37	23	14	62.2
