drug_name	n_signals	n_female_signals	n_male_signals	pct_female	n_unique_aes	mean_abs_lr	median_abs_lr	max_abs_lr	total_female_reports	total_male_reports	total_reports	report_pct_female
TRIHEXYPHENIDYL	17	14	3	82.353	17	0.848	0.791	1.376	358	395	753	47.543
MINERALS, UNSPECIFIED;VITAMINS, UNSPECIFIED	17	13	4	76.471	17	0.844	0.839	1.508	1065	239	1304	81.672
HEPARIN SODIUM	17	10	7	58.824	17	0.803	0.737	1.412	451	597	1048	43.034
GLIPIZIDE	17	8	9	47.059	17	0.685	0.622	1.301	652	651	1303	50.038
VELAGLUCERASE ALFA	17	3	14	17.647	17	0.712	0.678	1.099	469	487	956	49.059
DEXMETHYLPHENIDATE	17	13	4	76.471	17	0.904	0.860	1.548	487	420	907	53.693
NEFOPAM	17	12	5	70.588	17	0.884	0.822	1.808	714	477	1191	59.950
LEVOTHYROXINE SODIUM	17	6	11	35.294	17	0.939	0.881	1.968	1249	278	1527	81.794
MOLNUPIRAVIR	17	11	6	64.706	17	0.678	0.635	1.135	650	556	1206	53.897
DRONABINOL	17	8	9	47.059	17	0.896	0.776	1.749	462	1258	1720	26.860
LETROZOLE	17	3	14	17.647	17	1.811	1.035	4.210	11863	307	12170	97.477
TROPATEPINE	17	15	2	88.235	17	0.826	0.735	1.393	467	449	916	50.983
CLORAZEPIC ACID	17	16	1	94.118	17	0.837	0.785	1.448	737	313	1050	70.190
DEXTROPROPOXYPHENE	16	7	9	43.750	16	0.836	0.827	1.241	1953	1317	3270	59.725
MENTHOL	16	5	11	31.250	16	1.121	0.847	3.025	659	708	1367	48.208
ALBUTEROL SULFATE	16	2	14	12.500	16	0.654	0.619	0.886	525	375	900	58.333
DORZOLAMIDE;TIMOLOL	16	3	13	18.750	16	0.748	0.653	1.439	484	259	743	65.141
ARMODAFINIL	16	2	14	12.500	16	0.705	0.662	1.247	529	327	856	61.799
TRABECTEDIN	16	5	11	31.250	16	0.770	0.714	1.571	646	430	1076	60.037
FRUQUINTINIB	16	6	10	37.500	16	0.583	0.547	0.838	731	1026	1757	41.605
VITAMIN E	16	5	11	31.250	16	1.623	1.489	2.780	777	997	1774	43.799
DEFIBROTIDE	16	15	1	93.750	16	0.874	0.805	1.635	490	646	1136	43.134
PROPAFENONE	16	8	8	50.000	16	0.766	0.725	1.377	598	325	923	64.789
ATROPINE;DIPHENOXYLATE	16	9	7	56.250	16	0.931	0.837	1.831	2452	459	2911	84.232
PANTOPRAZOLE SODIUM	16	14	2	87.500	16	0.671	0.677	0.958	639	236	875	73.029
GADOBENIC ACID	16	2	14	12.500	16	0.655	0.628	0.911	623	461	1084	57.472
LORATADINE;PSEUDOEPHEDRINE	16	1	15	6.250	16	0.703	0.700	0.985	488	308	796	61.307
PRAZEPAM	15	9	6	60.000	15	0.787	0.670	1.472	550	307	857	64.177
PERPHENAZINE	15	8	7	53.333	15	1.225	1.056	2.576	589	877	1466	40.177
QUINAPRIL	15	4	11	26.667	15	0.990	0.853	2.581	1056	357	1413	74.735
CYPROHEPTADINE	15	4	11	26.667	15	0.959	0.865	1.930	342	343	685	49.927
QUININE	15	8	7	53.333	15	1.071	0.849	2.262	668	929	1597	41.828
ANASTROZOLE	15	4	11	26.667	15	1.597	1.317	2.962	4851	343	5194	93.396
PENTOSAN POLYSULFATE	15	3	12	20.000	15	2.151	2.190	3.612	2508	276	2784	90.086
DEXTROMETHORPHAN;GUAIFENESIN	15	3	12	20.000	15	0.696	0.661	0.998	645	463	1108	58.213
ACETAZOLAMIDE	15	7	8	46.667	15	1.009	0.918	1.798	603	317	920	65.543
GADOXETIC ACID	15	0	15	0.000	15	0.768	0.727	1.165	263	236	499	52.705
CAPMATINIB	15	2	13	13.333	15	0.779	0.732	1.522	350	403	753	46.481
RIZATRIPTAN	15	2	13	13.333	15	1.452	1.075	4.675	1738	1428	3166	54.896
DEXMEDETOMIDINE	15	14	1	93.333	15	0.836	0.764	1.289	337	329	666	50.601
COLISTIN	15	13	2	86.667	15	0.921	0.940	1.454	398	491	889	44.769
TIMOLOL	15	7	8	46.667	15	0.809	0.755	1.342	2294	1535	3829	59.911
DEUTETRABENAZINE	15	3	12	20.000	15	0.746	0.591	1.289	511	323	834	61.271
ATOVAQUONE	15	10	5	66.667	15	0.786	0.732	1.258	338	468	806	41.935
LAMIVUDINE;ZIDOVUDINE	15	6	9	40.000	15	0.958	0.810	1.629	497	358	855	58.129
BRIMONIDINE;BRINZOLAMIDE	15	3	12	20.000	15	0.715	0.636	1.512	404	267	671	60.209
CASIRIVIMAB;IMDEVIMAB	15	0	15	0.000	15	0.746	0.679	1.160	434	596	1030	42.136
ONASEMNOGENE ABEPARVOVEC	15	6	9	40.000	15	0.735	0.686	1.241	503	480	983	51.170
IOVERSOL	15	2	13	13.333	15	0.777	0.810	1.122	431	369	800	53.875
DRONEDARONE	15	4	11	26.667	15	0.648	0.615	0.930	318	228	546	58.242
LECANEMAB	15	2	13	13.333	15	0.801	0.794	1.102	604	569	1173	51.492
CANDESARTAN CILEXETIL	15	11	4	73.333	15	0.792	0.696	1.462	796	278	1074	74.115
TEZEPELUMAB	15	2	13	13.333	15	0.820	0.730	1.524	508	252	760	66.842
SULFUR HEXAFLUORIDE	15	7	8	46.667	15	0.764	0.722	1.307	382	667	1049	36.416
PIPAMPERONE	15	10	5	66.667	15	0.878	0.904	1.302	553	358	911	60.703
FINASTERIDE	15	11	4	73.333	15	1.759	1.553	3.873	296	5082	5378	5.504
METHOCARBAMOL	14	4	10	28.571	14	1.333	1.160	2.586	824	660	1484	55.526
GADOPENTETIC ACID	14	4	10	28.571	14	0.768	0.740	1.214	436	292	728	59.890
CHLOROQUINE	14	9	5	64.286	14	0.888	0.713	1.409	1302	372	1674	77.778
TRIAZOLAM	14	5	9	35.714	14	0.835	0.781	1.365	625	428	1053	59.354
METOLAZONE	14	11	3	78.571	14	0.799	0.742	1.305	440	328	768	57.292
FOSTAMATINIB	14	2	12	14.286	14	0.633	0.607	0.854	395	351	746	52.949
CAFFEINE;DIHYDROCODEINE;PARACETAMOL	14	13	1	92.857	14	0.765	0.662	1.479	1416	1576	2992	47.326
BRIGATINIB	14	10	4	71.429	14	0.665	0.632	0.891	464	319	783	59.259
GALSULFASE	14	2	12	14.286	14	0.662	0.622	0.941	273	260	533	51.220
CABERGOLINE	14	2	12	14.286	14	0.982	0.769	2.127	391	270	661	59.153
CHORIONIC GONADOTROPHIN	14	0	14	0.000	14	2.008	1.751	3.851	424	526	950	44.632
FLURAZEPAM	14	2	12	14.286	14	1.092	1.165	1.574	748	482	1230	60.813
RIFABUTIN	14	10	4	71.429	14	0.788	0.719	1.672	415	269	684	60.673
TERBUTALINE	14	5	9	35.714	14	0.830	0.814	1.408	614	332	946	64.905
DIDANOSINE	14	9	5	64.286	14	0.999	0.772	2.276	360	623	983	36.623
BISMUTH	14	3	11	21.429	14	1.491	1.383	2.631	428	784	1212	35.314
AMINOPHYLLINE	14	6	8	42.857	14	1.124	0.911	2.601	1281	442	1723	74.347
DESONIDE	14	4	10	28.571	14	1.493	1.522	2.133	1522	291	1813	83.949
HYDROXYQUINOLINE	14	0	14	0.000	14	2.465	2.256	4.422	258	480	738	34.959
LANTHANUM CARBONATE	14	5	9	35.714	14	1.501	1.661	2.510	355	1912	2267	15.659
TIAPRIDE	14	13	1	92.857	14	0.786	0.716	1.827	399	264	663	60.181
ALBIGLUTIDE	14	3	11	21.429	14	0.623	0.582	0.990	1592	1269	2861	55.645
PANOBINOSTAT	14	11	3	78.571	14	0.742	0.674	1.221	383	451	834	45.923
ROFECOXIB	14	3	11	21.429	14	1.666	1.467	3.664	1178	581	1759	66.970
VARICELLA ZOSTER VACCINE	14	3	11	21.429	14	1.044	0.761	2.365	655	452	1107	59.169
IBANDRONIC ACID	14	2	12	14.286	14	1.119	0.863	3.222	3790	208	3998	94.797
BILASTINE	14	5	9	35.714	14	0.811	0.697	1.663	558	257	815	68.466
AMBROXOL	14	7	7	50.000	14	1.493	1.427	2.923	623	680	1303	47.813
CHLORAMBUCIL	14	12	2	85.714	14	0.890	0.798	1.517	323	518	841	38.407
LOXOPROFEN	14	9	5	64.286	14	0.703	0.669	0.963	315	292	607	51.895
ADEFOVIR DIPIVOXIL	14	9	5	64.286	14	0.850	0.706	1.714	239	563	802	29.800
FLUOXETINE HYDROCHLORIDE	14	6	8	42.857	14	0.743	0.745	1.115	574	247	821	69.915
NALOXONE;OXYCODONE	14	4	10	28.571	14	0.852	0.723	1.864	383	290	673	56.909
MAGNESIUM;POTASSIUM SULFATE;SODIUM SULFATE	14	3	11	21.429	14	0.815	0.664	1.261	2070	597	2667	77.615
LUTETIUM (177LU) DOTATATE	14	7	7	50.000	14	0.704	0.606	1.327	327	391	718	45.543
PEXIDARTINIB	14	6	8	42.857	14	0.741	0.650	1.287	652	406	1058	61.626
AMANTADINE HYDROCHLORIDE	14	8	6	57.143	14	0.900	0.655	1.856	417	332	749	55.674
LOMITAPIDE	13	2	11	15.385	13	0.874	0.717	1.924	474	430	904	52.434
IOPAMIDOL	13	0	13	0.000	13	0.727	0.757	0.949	289	336	625	46.240
DEXAMFETAMINE	13	2	11	15.385	13	0.751	0.720	1.355	339	416	755	44.901
MANNITOL	13	2	11	15.385	13	1.385	1.488	2.603	264	1077	1341	19.687
ACARBOSE	13	7	6	53.846	13	0.807	0.822	1.272	526	353	879	59.841
CRISABOROLE	13	0	13	0.000	13	0.786	0.716	1.379	492	311	803	61.270
ROPIVACAINE	13	1	12	7.692	13	0.810	0.684	1.990	293	232	525	55.810
LOMUSTINE	13	8	5	61.538	13	0.808	0.739	1.154	263	320	583	45.111
ACETYLSALICYLIC ACID;OXYCODONE	13	9	4	69.231	13	0.812	0.718	1.686	1460	1349	2809	51.976
SPARSENTAN	13	6	7	46.154	13	0.686	0.630	1.039	420	490	910	46.154
DOXYLAMINE	13	5	8	38.462	13	0.830	0.828	1.308	348	268	616	56.494
RUCAPARIB	13	5	8	38.462	13	1.081	1.134	2.235	5871	434	6305	93.117
CHLORAMPHENICOL	13	1	12	7.692	13	1.422	1.426	2.100	186	681	867	21.453
UNSPECIFIED INGREDIENT	13	11	2	84.615	13	0.604	0.559	0.779	569	237	806	70.596
ACENOCOUMAROL	13	10	3	76.923	13	0.889	0.835	1.330	330	302	632	52.215
CAPSAICIN	13	4	9	30.769	13	0.792	0.723	1.282	790	626	1416	55.791
G-CSF, UNSPECIFIED	13	11	2	84.615	13	0.835	0.758	1.604	280	284	564	49.645
ZIPRASIDONE HYDROCHLORIDE	13	12	1	92.308	13	1.091	0.993	2.619	1277	448	1725	74.029
PEGINTERFERONS, UNSPECIFIED	13	6	7	46.154	13	0.763	0.648	1.740	262	502	764	34.293
MOXONIDINE	13	5	8	38.462	13	1.105	1.055	1.847	336	387	723	46.473
CIPROFLOXACIN HYDROCHLORIDE	13	2	11	15.385	13	0.737	0.711	1.089	308	208	516	59.690
ALBUTEROL	13	7	6	53.846	13	0.744	0.691	1.420	522	196	718	72.702
ELOTUZUMAB	13	11	2	84.615	13	0.709	0.705	0.992	503	542	1045	48.134
ESOMEPRAZOLE;NAPROXEN	13	7	6	53.846	13	1.056	0.989	2.347	1367	964	2331	58.644
TENECTEPLASE	13	11	2	84.615	13	0.836	0.882	1.196	296	370	666	44.444
GADODIAMIDE	13	3	10	23.077	13	0.764	0.657	1.200	671	658	1329	50.489
ZOLPIDEM TARTRATE	13	7	6	53.846	13	0.713	0.710	0.914	784	458	1242	63.124
NICARDIPINE	13	5	8	38.462	13	0.859	0.805	1.160	556	283	839	66.269
NAPROXEN SODIUM	13	5	8	38.462	13	1.125	1.039	1.728	1060	282	1342	78.987
DULOXETINE HYDROCHLORIDE	13	2	11	15.385	13	0.777	0.704	1.348	415	222	637	65.149
ONDANSETRON HYDROCHLORIDE	13	2	11	15.385	13	0.861	0.814	1.548	494	211	705	70.071
CHLORTALIDONE	12	5	7	41.667	12	0.990	0.925	1.796	344	352	696	49.425
VINDESINE	12	12	0	100.000	12	0.750	0.668	1.504	335	261	596	56.208
SELINEXOR	12	8	4	66.667	12	0.783	0.661	1.342	515	535	1050	49.048
INTERFERON ALFA-2B	12	5	7	41.667	12	0.660	0.650	0.984	326	415	741	43.995
RADIOTHERAPY, UNSPECIFIED	12	9	3	75.000	12	0.914	0.865	1.536	191	493	684	27.924
AZELASTINE;FLUTICASONE	12	0	12	0.000	12	0.933	0.830	1.689	303	302	605	50.083
SEVELAMER	12	7	5	58.333	12	0.735	0.743	0.918	286	334	620	46.129
VITAMIN B, UNSPECIFIED	12	5	7	41.667	12	1.108	0.871	2.358	746	374	1120	66.607
BRODALUMAB	12	6	6	50.000	12	0.663	0.555	1.156	454	401	855	53.099
RIMEGEPANT	12	0	12	0.000	12	0.964	0.951	1.425	1297	328	1625	79.815
MUPIROCIN	12	3	9	25.000	12	1.096	1.033	1.714	1514	309	1823	83.050
THIAMAZOLE	12	2	10	16.667	12	0.814	0.752	1.227	584	404	988	59.109
TAMOXIFEN	12	1	11	8.333	12	1.678	1.263	5.562	2704	224	2928	92.350
OLMESARTAN MEDOXOMIL	12	5	7	41.667	12	0.820	0.623	1.447	229	237	466	49.142
NADOLOL	12	3	9	25.000	12	1.417	1.356	2.115	1447	251	1698	85.218
MACROGOL;PROPYLENE GLYCOL	12	0	12	0.000	12	0.886	0.801	1.313	2994	1225	4219	70.965
INDAPAMIDE;PERINDOPRIL	12	6	6	50.000	12	0.973	0.843	1.969	423	322	745	56.779
VENLAFAXINE HYDROCHLORIDE	12	7	5	58.333	12	0.844	0.825	1.484	530	176	706	75.071
NIRAPARIB	12	8	4	66.667	12	1.113	0.962	2.018	19226	258	19484	98.676
TRAVOPROST	12	6	6	50.000	12	0.652	0.629	0.845	1807	1183	2990	60.435
PASIREOTIDE	12	8	4	66.667	12	0.834	0.761	1.565	829	307	1136	72.975
GLUCAGON	12	5	7	41.667	12	0.918	0.725	3.093	355	437	792	44.823
GEFITINIB	12	6	6	50.000	12	0.709	0.676	1.157	1372	665	2037	67.354
PLANTAGO SPP	12	3	9	25.000	12	1.440	1.404	2.772	778	442	1220	63.770
INDOMETHACIN	12	6	6	50.000	12	0.740	0.778	1.002	370	206	576	64.236
SUGAMMADEX	12	5	7	41.667	12	0.758	0.694	1.316	223	237	460	48.478
IVACAFTOR;TEZACAFTOR	12	2	10	16.667	12	0.727	0.688	1.080	352	305	657	53.577
ABEMACICLIB	12	1	11	8.333	12	1.185	0.858	2.121	7272	276	7548	96.343
MIDOMAFETAMINE	12	10	2	83.333	12	0.894	0.816	1.443	305	543	848	35.967
CHLORHEXIDINE;ISOPROPANOL	12	4	8	33.333	12	1.938	1.835	3.230	4369	208	4577	95.456
METHYLDOPA	12	1	11	8.333	12	1.459	1.477	2.227	1504	964	2468	60.940
IDARUCIZUMAB	12	12	0	100.000	12	0.813	0.695	1.300	355	377	732	48.497
TASIMELTEON	12	3	9	25.000	12	0.742	0.748	0.979	388	325	713	54.418
DICLOFENAMIDE	12	1	11	8.333	12	0.661	0.570	1.154	253	245	498	50.803
VILANTEROL	12	6	6	50.000	12	1.418	1.367	2.636	231	827	1058	21.834
CERITINIB	12	8	4	66.667	12	0.718	0.563	1.292	378	288	666	56.757
NITRIC OXIDE	12	5	7	41.667	12	0.663	0.577	1.176	268	435	703	38.122
AZELASTINE	11	0	11	0.000	11	0.713	0.601	1.173	630	505	1135	55.507
PYRIDOSTIGMINE	11	3	8	27.273	11	0.716	0.712	0.913	311	237	548	56.752
PARAFFIN	11	1	10	9.091	11	0.897	0.772	1.548	574	360	934	61.456
ROPEGINTERFERON ALFA-2B	11	0	11	0.000	11	0.838	0.821	1.279	272	237	509	53.438
DAPAGLIFLOZIN;METFORMIN	11	8	3	72.727	11	0.719	0.686	1.078	255	246	501	50.898
LEUCOVORIN CALCIUM	11	7	4	63.636	11	0.636	0.618	0.839	206	212	418	49.282
TETRACYCLINE	11	2	9	18.182	11	1.033	0.827	2.141	689	191	880	78.295
HYDROCHLOROTHIAZIDE;IRBESARTAN	11	7	4	63.636	11	0.695	0.701	1.028	567	228	795	71.321
IMIGLUCERASE	11	2	9	18.182	11	0.697	0.577	1.510	319	192	511	62.427
EZETIMIBE;SIMVASTATIN	11	8	3	72.727	11	0.763	0.791	1.035	298	223	521	57.198
DELORAZEPAM	11	5	6	45.455	11	0.837	0.733	1.806	1027	454	1481	69.345
RIFAMPIN	11	9	2	81.818	11	0.705	0.623	1.099	426	312	738	57.724
DIGITOXIN	11	6	5	54.545	11	0.892	0.773	1.549	319	224	543	58.748
SACITUZUMAB GOVITECAN	11	3	8	27.273	11	1.090	1.043	1.942	2966	239	3205	92.543
CEPHALEXIN	11	2	9	18.182	11	0.801	0.853	1.083	443	194	637	69.545
DIPHENHYDRAMINE;PARACETAMOL	11	3	8	27.273	11	0.987	0.948	1.444	375	205	580	64.655
INTERFERON	11	8	3	72.727	11	0.781	0.812	1.070	234	238	472	49.576
ENOXAPARIN SODIUM	11	6	5	54.545	11	0.795	0.696	1.364	368	284	652	56.442
DOCOSANOL	11	1	10	9.091	11	0.758	0.703	1.136	777	368	1145	67.860
APROTININ	11	10	1	90.909	11	1.204	1.090	1.930	150	230	380	39.474
TALC	11	0	11	0.000	11	1.822	1.725	3.575	697	958	1655	42.115
XANTOFYL	11	4	7	36.364	11	2.055	2.079	4.489	1438	738	2176	66.085
PROCYCLIDINE	11	9	2	81.818	11	1.077	0.819	2.952	633	208	841	75.268
MILNACIPRAN	11	3	8	27.273	11	0.883	0.873	1.310	725	144	869	83.429
VANDETANIB	11	7	4	63.636	11	0.964	0.914	1.377	315	223	538	58.550
DEXAMETHASONE;TOBRAMYCIN	11	1	10	9.091	11	0.774	0.638	1.469	324	245	569	56.942
ALPELISIB	11	6	5	54.545	11	1.182	0.910	2.237	6675	225	6900	96.739
PRIMIDONE	11	2	9	18.182	11	0.765	0.681	1.051	492	548	1040	47.308
XIPAMIDE	11	8	3	72.727	11	1.283	1.220	2.594	570	387	957	59.561
ESLICARBAZEPINE	11	3	8	27.273	11	0.758	0.667	1.395	321	319	640	50.156
AMLODIPINE BESYLATE	11	2	9	18.182	11	0.748	0.671	1.008	231	210	441	52.381
CILTACABTAGENE AUTOLEUCEL	11	8	3	72.727	11	0.724	0.719	1.088	406	534	940	43.191
POVIDONE	11	4	7	36.364	11	0.935	0.835	1.525	699	193	892	78.363
XYLOMETAZOLINE	11	2	9	18.182	11	1.706	1.516	2.791	213	886	1099	19.381
COLESTYRAMINE	11	4	7	36.364	11	0.877	0.787	1.995	668	428	1096	60.949
ISAVUCONAZOLE	11	10	1	90.909	11	0.689	0.682	0.961	181	239	420	43.095
VITAMIN B5	11	6	5	54.545	11	1.382	1.345	2.208	399	317	716	55.726
BRINZOLAMIDE	11	2	9	18.182	11	0.761	0.710	1.420	420	245	665	63.158
CLIOQUINOL	10	0	10	0.000	10	1.933	2.053	2.548	487	104	591	82.403
KETOTIFEN	10	0	10	0.000	10	0.899	0.865	1.451	419	197	616	68.019
REMIFENTANIL	10	7	3	70.000	10	0.693	0.608	1.288	240	256	496	48.387
CISATRACURIUM	10	9	1	90.000	10	0.776	0.754	1.084	236	204	440	53.636
OLOPATADINE	10	0	10	0.000	10	0.882	0.781	1.438	489	283	772	63.342
SULPIRIDE	10	4	6	40.000	10	0.805	0.700	1.325	309	180	489	63.190
RIBOCICLIB	10	4	6	40.000	10	1.185	0.760	2.851	10153	180	10333	98.258
EMPAGLIFLOZIN;METFORMIN	10	8	2	80.000	10	0.635	0.596	0.812	275	239	514	53.502
BELUMOSUDIL	10	5	5	50.000	10	0.693	0.639	0.911	223	206	429	51.981
SULFADIAZINE	10	2	8	20.000	10	1.015	0.719	2.411	660	468	1128	58.511
CITRIC ACID;MAGNESIUM;SODIUM PICOSULFATE	10	0	10	0.000	10	0.912	0.813	1.507	697	504	1201	58.035
DEFERIPRONE	10	2	8	20.000	10	0.572	0.518	0.767	300	205	505	59.406
CILOSTAZOL	10	9	1	90.000	10	0.659	0.629	0.964	167	210	377	44.297
FARICIMAB	10	5	5	50.000	10	0.706	0.720	0.885	1285	1124	2409	53.342
BECAPLERMIN	10	4	6	40.000	10	0.773	0.655	1.412	231	420	651	35.484
LANADELUMAB	10	2	8	20.000	10	0.716	0.595	1.537	2312	667	2979	77.610
BENZONATATE	10	2	8	20.000	10	0.917	0.875	1.361	403	221	624	64.583
SODIUM FLUORIDE	10	3	7	30.000	10	0.959	1.008	1.153	516	150	666	77.477
PHENTERMINE;TOPIRAMATE	10	0	10	0.000	10	0.734	0.695	1.027	1529	319	1848	82.738
SODIUM	10	3	7	30.000	10	0.912	0.832	1.718	357	202	559	63.864
ENZALUTAMIDE	10	5	5	50.000	10	1.847	1.296	3.916	229	20674	20903	1.096
CANAGLIFLOZIN;METFORMIN	10	6	4	60.000	10	0.735	0.666	1.041	280	414	694	40.346
PROGESTERONE	10	1	9	10.000	10	2.411	2.388	3.527	1438	410	1848	77.814
ALFUZOSIN	10	10	0	100.000	10	1.766	1.786	2.762	146	381	527	27.704
AVACOPAN	10	5	5	50.000	10	0.716	0.656	1.049	231	176	407	56.757
LOPINAVIR	10	9	1	90.000	10	1.478	1.091	4.632	187	156	343	54.519
BUPROPION HYDROCHLORIDE	10	5	5	50.000	10	1.103	0.921	2.293	422	396	818	51.589
ETRAVIRINE	10	9	1	90.000	10	1.257	1.188	2.214	282	291	573	49.215
ROMOSOZUMAB	10	1	9	10.000	10	0.874	0.790	1.866	1383	250	1633	84.691
ELBASVIR;GRAZOPREVIR	10	2	8	20.000	10	0.820	0.711	1.469	249	380	629	39.587
FLUTICASONE PROPIONATE	10	3	7	30.000	10	0.937	0.797	1.737	231	207	438	52.740
ORITAVANCIN	10	0	10	0.000	10	0.863	0.900	1.153	266	422	688	38.663
LOSARTAN POTASSIUM	10	4	6	40.000	10	0.659	0.642	0.799	254	176	430	59.070
BISMUTH;METRONIDAZOLE;TETRACYCLINE	9	4	5	44.444	9	0.852	0.825	1.132	284	124	408	69.608
INTERFERON BETA	9	0	9	0.000	9	0.881	0.817	1.344	170	220	390	43.590
TINZAPARIN	9	3	6	33.333	9	0.862	0.789	1.577	324	274	598	54.181
OMADACYCLINE	9	4	5	44.444	9	0.628	0.653	0.761	205	148	353	58.074
IODINE	9	1	8	11.111	9	1.108	0.949	1.992	302	136	438	68.950
TOLTERODINE	9	0	9	0.000	9	1.053	0.988	1.576	436	229	665	65.564
ENASIDENIB	9	4	5	44.444	9	0.699	0.676	0.869	158	237	395	40.000
VANCOMYCIN HYDROCHLORIDE	9	7	2	77.778	9	0.783	0.765	1.225	218	183	401	54.364
INSULIN;LIXISENATIDE	9	6	3	66.667	9	0.760	0.655	1.246	356	364	720	49.444
DICLOFENAC;MISOPROSTOL	9	3	6	33.333	9	1.032	0.668	3.566	812	158	970	83.711
RILONACEPT	9	0	9	0.000	9	0.723	0.696	1.023	320	158	478	66.946
CEDAZURIDINE;DECITABINE	9	7	2	77.778	9	0.699	0.738	0.821	237	308	545	43.486
PROPIOMAZINE	9	4	5	44.444	9	0.754	0.565	1.374	1670	595	2265	73.731
ALOGLIPTIN	9	7	2	77.778	9	0.870	0.849	1.331	140	154	294	47.619
FLUOCINOLONE	9	2	7	22.222	9	0.947	0.884	1.608	294	248	542	54.244
MAGNESIUM;POTASSIUM;SODIUM SULFATE	9	1	8	11.111	9	0.678	0.539	1.272	407	185	592	68.750
MAVACAMTEN	9	1	8	11.111	9	0.640	0.590	0.845	196	123	319	61.442
PROMAZINE	9	6	3	66.667	9	0.805	0.554	1.593	592	385	977	60.594
MEFLOQUINE	9	3	6	33.333	9	0.689	0.657	0.999	154	220	374	41.176
BEBTELOVIMAB	9	0	9	0.000	9	0.681	0.614	0.959	325	226	551	58.984
CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE	9	5	4	55.556	9	0.703	0.613	1.046	472	587	1059	44.570
PRAZOSIN	9	3	6	33.333	9	0.935	0.884	1.196	273	227	500	54.600
MITOMYCIN	9	8	1	88.889	9	0.709	0.590	1.053	322	218	540	59.630
HYDROCHLOROTHIAZIDE;RAMIPRIL	9	5	4	55.556	9	0.803	0.699	1.309	254	157	411	61.800
BELANTAMAB MAFODOTIN	9	5	4	55.556	9	0.754	0.704	1.595	326	451	777	41.956
GLOFITAMAB	9	8	1	88.889	9	0.740	0.709	1.046	366	530	896	40.848
DOXYCYCLINE HYCLATE	9	0	9	0.000	9	0.835	0.794	1.392	304	172	476	63.866
MIDODRINE	9	6	3	66.667	9	0.889	0.850	1.155	274	211	485	56.495
BENAZEPRIL	9	6	3	66.667	9	0.769	0.734	1.186	270	217	487	55.441
MICONAZOLE	9	1	8	11.111	9	1.434	1.458	2.169	934	178	1112	83.993
GEMTUZUMAB OZOGAMICIN	9	6	3	66.667	9	0.777	0.696	1.428	270	205	475	56.842
TRIAMCINOLONE ACETONIDE	9	3	6	33.333	9	0.847	0.757	1.331	339	156	495	68.485
ELETRIPTAN	9	0	9	0.000	9	1.354	1.079	2.367	944	310	1254	75.279
ABROCITINIB	9	1	8	11.111	9	0.653	0.560	1.174	134	139	273	49.084
LOPERAMIDE;SIMETICONE	9	6	3	66.667	9	0.756	0.754	0.938	1536	361	1897	80.970
DIPHENHYDRAMINE HYDROCHLORIDE	9	7	2	77.778	9	0.917	0.847	1.521	756	170	926	81.641
NELFINAVIR	9	7	2	77.778	9	1.293	1.129	2.171	229	266	495	46.263
DICYCLOVERINE	9	0	9	0.000	9	0.718	0.659	0.983	246	173	419	58.711
UNSPECIFIED, TRIAL	9	7	2	77.778	9	0.655	0.626	1.003	228	268	496	45.968
LOTEPREDNOL	9	1	8	11.111	9	0.773	0.722	1.091	424	164	588	72.109
FENOTEROL;IPRATROPIUM	9	1	8	11.111	9	1.366	1.274	2.046	153	478	631	24.247
PENTOXIFYLLINE	9	4	5	44.444	9	0.784	0.705	1.231	233	126	359	64.903
BETAMETHASONE;CALCIPOTRIOL	9	3	6	33.333	9	0.726	0.631	1.333	198	150	348	56.897
NEPAFENAC	9	0	9	0.000	9	0.706	0.667	1.012	185	184	369	50.136
FLUCLOXACILLIN	9	3	6	33.333	9	1.029	1.101	1.426	227	201	428	53.037
ATORVASTATIN;EZETIMIBE	8	8	0	100.000	8	0.852	0.869	0.981	149	111	260	57.308
DARATUMUMAB;HYALURONIDASE	8	6	2	75.000	8	0.679	0.570	1.089	134	143	277	48.375
MISOPROSTOL	8	0	8	0.000	8	2.804	2.467	3.985	368	231	599	61.436
PEGINTERFERON ALFA	8	6	2	75.000	8	0.724	0.648	1.109	126	179	305	41.311
DARIDOREXANT	8	0	8	0.000	8	0.663	0.663	0.767	197	141	338	58.284
ZICONOTIDE	8	3	5	37.500	8	0.683	0.699	0.804	191	175	366	52.186
DEXAMFETAMINE;AMFETAMINE	8	6	2	75.000	8	0.766	0.758	1.093	210	221	431	48.724
ATOGEPANT	8	0	8	0.000	8	0.861	0.724	1.428	1478	294	1772	83.409
AMLODIPINE;OLMESARTAN	8	4	4	50.000	8	0.714	0.650	1.084	180	137	317	56.782
METHYLTHIONINIUM	8	2	6	25.000	8	0.935	0.814	1.858	366	288	654	55.963
CIDOFOVIR	8	8	0	100.000	8	0.780	0.709	1.252	168	147	315	53.333
PARATHYROID HORMONE	8	1	7	12.500	8	0.928	0.838	1.476	621	114	735	84.490
AGOMELATINE	8	1	7	12.500	8	0.983	0.778	1.767	219	124	343	63.848
LOVASTATIN	8	5	3	62.500	8	0.779	0.792	1.005	289	178	467	61.884
COBICISTAT;DARUNAVIR	8	6	2	75.000	8	1.062	1.125	1.630	163	267	430	37.907
