adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Injection site erythema	66	66	5	61	7.576	0.854	0.724	1.886	27967
Diverticulitis	66	66	22	44	33.333	1.068	0.753	3.930	16223
Flatulence	66	66	29	37	43.939	0.816	0.696	2.298	7926
Joint injury	65	65	27	38	41.538	1.124	0.950	2.881	13198
Deafness	65	65	46	19	70.769	0.829	0.790	2.150	5699
Blood test abnormal	65	65	38	27	58.462	1.116	0.897	3.158	8287
Product prescribing error	65	65	19	46	29.231	1.054	0.822	2.854	5553
Visual acuity reduced	65	65	20	45	30.769	0.886	0.780	2.054	5241
Acute hepatic failure	65	65	39	26	60.000	0.885	0.849	1.771	4492
Candida infection	65	65	22	43	33.846	0.864	0.775	1.982	8541
Impaired work ability	65	65	20	45	30.769	1.157	0.998	3.664	10019
Gastric disorder	64	64	26	38	40.625	0.777	0.697	1.691	7314
Blood alkaline phosphatase increased	64	64	40	24	62.500	0.778	0.676	1.719	4718
Photosensitivity reaction	64	64	13	51	20.312	0.997	0.787	3.474	6267
Red blood cell count decreased	64	64	26	38	40.625	0.875	0.762	1.782	6849
Brain oedema	64	64	39	25	60.938	0.954	0.827	1.963	4434
Ventricular fibrillation	64	64	38	26	59.375	1.279	1.095	3.298	7007
Drug withdrawal syndrome	64	64	54	10	84.375	0.820	0.785	1.741	18674
Eye swelling	64	64	8	56	12.500	0.876	0.771	1.839	6278
Melaena	64	64	55	9	85.938	0.768	0.710	1.604	7050
Haematemesis	64	64	45	19	70.312	0.806	0.735	1.328	4420
Neurotoxicity	64	64	58	6	90.625	0.903	0.823	1.699	8183
Prescribed overdose	64	64	45	19	70.312	1.773	1.471	4.559	22984
Ejection fraction decreased	64	64	36	28	56.250	1.062	0.965	2.842	10055
Hepatic cirrhosis	64	64	56	8	87.500	1.447	1.195	3.555	18243
Presyncope	63	63	20	43	31.746	0.843	0.784	2.130	5041
Lacrimation increased	63	63	23	40	36.508	0.794	0.710	1.841	9625
Cholelithiasis	63	63	27	36	42.857	1.026	0.870	3.229	5693
Cardiomyopathy	63	63	39	24	61.905	0.979	0.897	1.910	5648
Blindness	63	63	18	45	28.571	0.798	0.741	1.619	5182
Tachypnoea	63	63	42	21	66.667	0.817	0.741	1.930	4227
Dyskinesia	63	63	41	22	65.079	0.836	0.732	2.012	11416
Nodule	63	63	9	54	14.286	1.646	1.122	4.894	9813
Cystitis	63	63	25	38	39.683	1.028	0.850	2.768	11204
Panic attack	63	63	10	53	15.873	0.776	0.701	1.852	6236
Unresponsive to stimuli	63	63	47	16	74.603	0.809	0.722	1.911	5720
Throat irritation	63	63	19	44	30.159	0.884	0.708	2.317	10947
Frequent bowel movements	62	62	37	25	59.677	1.296	1.141	2.957	11647
Pneumothorax	62	62	39	23	62.903	0.826	0.720	2.598	3861
Hypomagnesaemia	62	62	44	18	70.968	0.824	0.797	1.649	5135
Lung neoplasm malignant	62	62	43	19	69.355	0.929	0.739	3.142	7353
Cytopenia	61	61	51	10	83.607	0.754	0.692	1.517	7144
Diplopia	61	61	18	43	29.508	0.804	0.749	1.790	4995
Pain of skin	61	61	0	61	0.000	0.903	0.849	2.112	8958
Femur fracture	61	61	6	55	9.836	0.986	0.856	2.310	8367
Underdose	61	61	44	17	72.131	1.091	0.940	2.601	9966
Rash papular	61	61	5	56	8.197	0.884	0.815	1.802	5459
Neoplasm malignant	61	61	49	12	80.328	0.812	0.745	1.747	6138
Bacteraemia	61	61	43	18	70.492	0.768	0.701	1.697	5818
Impaired quality of life	60	60	3	57	5.000	1.223	1.086	2.596	7595
Hyperbilirubinaemia	60	60	43	17	71.667	0.882	0.831	1.821	4711
Pulmonary congestion	60	60	21	39	35.000	0.948	0.830	2.120	4378
Viral infection	59	59	17	42	28.814	0.893	0.725	3.031	4763
Coronary artery disease	59	59	39	20	66.102	0.989	0.821	2.209	12707
Toxic skin eruption	59	59	41	18	69.492	0.797	0.743	1.902	4070
Irritable bowel syndrome	59	59	31	28	52.542	1.695	1.403	4.235	51408
Atelectasis	59	59	31	28	52.542	0.964	0.855	3.168	4947
Fear	59	59	8	51	13.559	0.834	0.733	2.222	4927
Coagulopathy	58	58	36	22	62.069	0.792	0.753	1.711	3186
Intentional self-injury	58	58	24	34	41.379	0.795	0.749	1.401	9887
Drug effect incomplete	58	58	19	39	32.759	0.772	0.688	2.806	7590
Skin irritation	58	58	1	57	1.724	1.016	0.909	2.675	6392
Limb discomfort	58	58	18	40	31.034	0.882	0.681	3.108	10391
Gastritis	58	58	17	41	29.310	0.803	0.681	1.784	4658
Blood potassium decreased	58	58	24	34	41.379	0.838	0.660	1.857	5214
Drug level increased	57	57	37	20	64.912	0.910	0.809	2.121	7147
Osteonecrosis	57	57	55	2	96.491	0.993	0.835	2.329	13429
Respiratory tract infection	57	57	36	21	63.158	0.955	0.808	2.498	9979
Haematocrit decreased	57	57	36	21	63.158	0.854	0.797	1.563	5051
Micturition urgency	57	57	7	50	12.281	1.296	0.998	3.089	4711
Face oedema	57	57	26	31	45.614	0.808	0.741	1.670	3802
Crying	57	57	10	47	17.544	1.014	0.921	2.360	7968
Pathogen resistance	57	57	53	4	92.982	0.916	0.842	2.018	6074
Adverse reaction	57	57	21	36	36.842	1.038	0.874	3.660	8847
Myelodysplastic syndrome	56	56	48	8	85.714	0.999	0.872	3.140	7446
Mental disorder	56	56	31	25	55.357	0.778	0.724	1.767	5413
Cyanosis	56	56	30	26	53.571	0.779	0.701	1.656	3506
Hyperlipidaemia	56	56	19	37	33.929	0.981	0.866	2.013	4900
International normalised ratio increased	56	56	47	9	83.929	0.836	0.766	1.858	4604
Blood pressure systolic increased	56	56	35	21	62.500	1.028	0.868	2.559	5174
Lymphocyte count decreased	56	56	9	47	16.071	0.960	0.783	3.566	6098
Procedural pain	55	55	13	42	23.636	0.927	0.874	2.165	11582
Cardiac murmur	55	55	21	34	38.182	1.288	1.290	2.837	6645
Abnormal behaviour	55	55	43	12	78.182	0.877	0.697	3.577	5979
Myelosuppression	55	55	20	35	36.364	0.858	0.724	2.402	13735
Oral candidiasis	55	55	28	27	50.909	1.048	0.830	2.392	7085
Therapy partial responder	55	55	36	19	65.455	0.970	0.830	2.956	4395
Cytomegalovirus infection	55	55	46	9	83.636	0.848	0.757	1.580	11023
Chromaturia	55	55	34	21	61.818	0.769	0.737	1.356	3625
Splenomegaly	55	55	39	16	70.909	0.857	0.723	2.029	5073
Pulmonary mass	55	55	21	34	38.182	0.913	0.748	1.889	5557
Eye disorder	55	55	16	39	29.091	0.851	0.697	3.211	4590
Hypophagia	55	55	39	16	70.909	0.942	0.865	2.363	4679
Blood pressure fluctuation	54	54	32	22	59.259	0.857	0.802	1.637	9382
Renal tubular necrosis	54	54	42	12	77.778	0.923	0.826	2.073	5362
Secretion discharge	54	54	14	40	25.926	1.075	0.875	2.785	5409
Head injury	54	54	38	16	70.370	0.792	0.723	1.772	4420
Pain in jaw	54	54	7	47	12.963	0.859	0.761	2.107	16365
Troponin increased	54	54	27	27	50.000	1.113	1.084	1.951	4226
Poor quality sleep	54	54	34	20	62.963	0.796	0.782	1.492	3811
Sciatica	54	54	31	23	57.407	1.493	1.254	3.633	27363
Mood swings	54	54	8	46	14.815	0.868	0.769	2.228	8662
Dysstasia	54	54	16	38	29.630	0.855	0.772	2.996	4621
Mouth ulceration	53	53	17	36	32.075	0.877	0.782	2.266	6858
Withdrawal syndrome	53	53	22	31	41.509	0.740	0.668	1.422	3042
Haemodynamic instability	53	53	46	7	86.792	0.784	0.730	1.548	2565
Tooth loss	53	53	50	3	94.340	0.989	0.850	3.184	9363
Blood lactate dehydrogenase increased	53	53	38	15	71.698	0.853	0.701	1.971	3678
Throat tightness	53	53	15	38	28.302	0.761	0.704	1.614	4774
Thinking abnormal	53	53	15	38	28.302	0.832	0.800	1.698	3857
Synovitis	53	53	38	15	71.698	1.465	1.216	4.316	118618
Sputum discoloured	52	52	26	26	50.000	0.975	0.872	1.800	6097
Upper gastrointestinal haemorrhage	52	52	36	16	69.231	0.828	0.779	1.795	8732
Peritonitis	52	52	46	6	88.462	0.868	0.772	2.131	5082
Dry eye	52	52	25	27	48.077	0.918	0.840	1.982	20161
Subdural haematoma	52	52	49	3	94.231	0.847	0.822	1.713	2842
Injection site reaction	52	52	22	30	42.308	1.035	0.801	2.470	25786
Pneumonitis	52	52	33	19	63.462	0.836	0.843	1.314	7271
Spinal fracture	52	52	2	50	3.846	0.873	0.739	1.991	7662
Conjunctivitis	52	52	35	17	67.308	0.868	0.777	2.168	5431
Mood altered	52	52	14	38	26.923	0.796	0.687	1.757	7053
Eating disorder	52	52	37	15	71.154	1.037	0.822	2.492	6431
Feeding disorder	51	51	25	26	49.020	0.898	0.719	2.110	3703
Muscle spasticity	51	51	24	27	47.059	1.411	1.268	3.459	11674
Acute myeloid leukaemia	51	51	44	7	86.275	0.969	0.858	2.444	11280
Anuria	51	51	41	10	80.392	0.995	0.808	2.101	3749
Therapy interrupted	51	51	13	38	25.490	0.830	0.707	2.001	6577
Lymphopenia	51	51	13	38	25.490	1.007	0.783	2.723	5274
Generalised tonic-clonic seizure	51	51	33	18	64.706	0.775	0.713	1.452	3818
Unevaluable event	50	50	35	15	70.000	0.795	0.675	1.757	5488
Incorrect product administration duration	50	50	7	43	14.000	0.899	0.838	2.547	7176
Muscle twitching	50	50	23	27	46.000	0.866	0.776	2.312	5013
Photophobia	50	50	11	39	22.000	0.991	0.857	2.121	3483
Multiple-drug resistance	50	50	41	9	82.000	0.900	0.787	2.044	6696
Blood urea increased	49	49	36	13	73.469	0.812	0.747	1.507	2733
Rash macular	49	49	10	39	20.408	0.802	0.711	2.056	2755
Nephropathy toxic	49	49	41	8	83.673	0.874	0.799	1.978	3844
Clostridium difficile infection	49	49	30	19	61.224	0.790	0.715	1.511	4696
Metastases to bone	49	49	24	25	48.980	1.015	0.864	2.629	14151
Basal cell carcinoma	49	49	21	28	42.857	0.961	0.814	2.578	10706
Parkinson's disease	49	49	38	11	77.551	0.935	0.794	2.316	7114
Cardiomegaly	49	49	17	32	34.694	0.904	0.849	2.015	2939
Disability	49	49	42	7	85.714	1.161	0.984	3.271	11974
Lower limb fracture	49	49	25	24	51.020	1.336	1.009	3.509	19935
Therapeutic response unexpected	48	48	9	39	18.750	0.853	0.762	1.783	4345
Therapy cessation	48	48	11	37	22.917	0.783	0.747	1.414	4033
Surgery	48	48	7	41	14.583	0.741	0.652	2.132	4779
Ear infection	48	48	26	22	54.167	1.072	0.950	2.733	12567
Arteriosclerosis	48	48	28	20	58.333	1.093	0.928	2.512	3944
Metastases to liver	48	48	14	34	29.167	0.919	0.782	2.717	8361
Hypercalcaemia	48	48	37	11	77.083	1.026	0.942	2.401	9852
Product substitution issue	48	48	14	34	29.167	0.753	0.670	1.870	5086
Hypokinesia	48	48	24	24	50.000	0.874	0.767	2.178	3589
Sensory disturbance	47	47	10	37	21.277	0.790	0.711	2.009	2690
Sinus tachycardia	47	47	27	20	57.447	0.822	0.771	1.358	3101
Clostridium difficile colitis	47	47	32	15	68.085	0.935	0.822	2.411	3527
Poisoning	47	47	30	17	63.830	0.823	0.687	1.756	5045
Generalised oedema	47	47	15	32	31.915	0.878	0.760	2.014	2916
Adrenal insufficiency	47	47	38	9	80.851	1.291	1.140	2.955	7269
Cardiovascular disorder	47	47	29	18	61.702	0.818	0.720	1.449	4603
Inappropriate schedule of drug administration	47	47	12	35	25.532	0.781	0.633	2.672	8346
Glaucoma	47	47	21	26	44.681	0.926	0.770	2.275	4791
Psychomotor hyperactivity	47	47	30	17	63.830	0.800	0.753	1.503	3988
Schizophrenia	47	47	38	9	80.851	1.187	1.065	3.031	10510
Hypotonia	47	47	31	16	65.957	0.805	0.774	1.431	2565
Limb injury	47	47	27	20	57.447	0.780	0.700	2.290	5085
Rhinitis	47	47	4	43	8.511	1.246	1.193	3.977	4983
Neutrophil count increased	46	46	24	22	52.174	0.970	0.843	3.597	3226
Ileus	46	46	41	5	89.130	0.804	0.703	1.599	3017
Wound infection	46	46	25	21	54.348	1.626	1.531	3.234	22739
Product dose omission	46	46	9	37	19.565	0.831	0.683	3.365	5741
Electrolyte imbalance	46	46	32	14	69.565	0.870	0.786	1.518	3002
Hypophosphataemia	46	46	23	23	50.000	1.141	0.937	2.910	4555
Left ventricular dysfunction	46	46	35	11	76.087	0.983	0.870	1.865	3712
Faeces discoloured	46	46	30	16	65.217	0.718	0.670	1.065	3321
Myocarditis	46	46	41	5	89.130	0.996	0.893	2.707	6013
Cold sweat	46	46	12	34	26.087	0.818	0.733	1.472	2391
Anger	46	46	21	25	45.652	0.862	0.761	2.603	4463
Folliculitis	46	46	22	24	47.826	2.129	1.716	4.160	47783
Posterior reversible encephalopathy syndrome	46	46	36	10	78.261	0.970	0.964	1.557	6759
Eye pruritus	46	46	11	35	23.913	0.923	0.748	2.754	16403
Serotonin syndrome	46	46	23	23	50.000	0.894	0.813	1.801	6993
Pulmonary hypertension	45	45	13	32	28.889	0.908	0.768	2.293	4515
Gastric ulcer	45	45	32	13	71.111	0.851	0.843	1.922	4045
Cytokine release syndrome	45	45	39	6	86.667	0.831	0.788	1.838	16579
Polyneuropathy	45	45	33	12	73.333	0.844	0.739	1.729	4984
Knee arthroplasty	45	45	22	23	48.889	1.141	0.905	2.756	19855
Dystonia	45	45	32	13	71.111	0.943	0.848	2.222	9452
Thrombotic microangiopathy	45	45	31	14	68.889	0.860	0.800	1.436	7132
Musculoskeletal discomfort	45	45	10	35	22.222	0.906	0.771	2.194	5081
Neuroleptic malignant syndrome	44	44	39	5	88.636	0.857	0.801	1.615	6050
Blood urine present	44	44	37	7	84.091	0.993	0.858	1.905	3581
Blood potassium increased	44	44	35	9	79.545	0.906	0.757	2.855	2675
Haemorrhoids	44	44	24	20	54.545	0.864	0.771	1.678	2833
Bronchopulmonary aspergillosis	44	44	36	8	81.818	0.900	0.813	1.957	5569
Blood sodium decreased	44	44	20	24	45.455	0.721	0.622	1.761	2836
Sinus bradycardia	44	44	31	13	70.455	0.781	0.735	1.562	2807
Bone marrow failure	44	44	31	13	70.455	0.839	0.767	1.475	4893
Eosinophil count increased	44	44	21	23	47.727	0.993	0.837	2.354	4176
Localised infection	44	44	18	26	40.909	0.868	0.791	2.564	4309
Status epilepticus	44	44	35	9	79.545	0.967	0.812	2.458	3547
Graft versus host disease	44	44	40	4	90.909	0.947	0.811	1.953	3541
Product administration error	44	44	14	30	31.818	0.761	0.715	1.608	3233
Rales	44	44	27	17	61.364	1.112	1.041	2.010	5430
Rib fracture	44	44	20	24	45.455	0.751	0.658	1.468	4291
Scar	44	44	2	42	4.545	0.801	0.742	1.585	3880
Proteinuria	44	44	38	6	86.364	0.866	0.853	2.021	4737
Lipase increased	44	44	33	11	75.000	0.829	0.768	1.549	2603
Haemolytic anaemia	44	44	28	16	63.636	0.892	0.835	1.816	3063
Inappropriate antidiuretic hormone secretion	44	44	29	15	65.909	0.826	0.734	1.859	3453
Blood glucose decreased	44	44	33	11	75.000	0.753	0.699	1.365	3930
Respiratory depression	44	44	24	20	54.545	1.010	0.829	2.277	4042
Intervertebral disc protrusion	44	44	10	34	22.727	0.913	0.774	2.149	3596
Device leakage	43	43	41	2	95.349	0.959	0.960	1.708	14860
Ataxia	43	43	26	17	60.465	0.870	0.744	1.624	4017
Myoclonus	43	43	32	11	74.419	0.810	0.711	2.051	3679
Torsade de pointes	43	43	27	16	62.791	0.855	0.801	1.848	3896
Fibromyalgia	43	43	21	22	48.837	1.420	1.353	2.558	40340
Acute generalised exanthematous pustulosis	43	43	26	17	60.465	0.870	0.755	1.589	4104
Red blood cell sedimentation rate increased	43	43	26	17	60.465	1.473	1.415	3.243	17650
Ear pain	43	43	20	23	46.512	1.010	0.850	3.344	10302
Delusion	43	43	33	10	76.744	0.819	0.775	1.524	3696
Bursitis	43	43	23	20	53.488	1.411	1.179	3.294	29233
Tenderness	43	43	17	26	39.535	1.042	0.847	2.136	4889
Hypothermia	42	42	30	12	71.429	0.892	0.860	1.627	3494
Extrapyramidal disorder	42	42	36	6	85.714	0.979	0.839	1.835	4763
Hypocalcaemia	42	42	26	16	61.905	0.979	0.832	2.137	7335
Heart rate irregular	42	42	19	23	45.238	0.768	0.740	1.393	3390
Laboratory test abnormal	42	42	33	9	78.571	1.049	0.951	2.666	4361
Joint dislocation	42	42	23	19	54.762	1.222	1.173	2.612	9644
Hyperthermia	42	42	29	13	69.048	0.826	0.727	1.807	3000
Purpura	42	42	29	13	69.048	0.944	0.866	1.950	2672
Restless legs syndrome	42	42	12	30	28.571	0.941	0.821	2.382	2834
Hip arthroplasty	42	42	29	13	69.048	1.469	1.281	3.037	26982
Hallucination, visual	42	42	29	13	69.048	0.806	0.774	1.475	3247
Myocardial ischaemia	42	42	37	5	88.095	0.952	0.860	1.888	3348
Hernia	42	42	29	13	69.048	0.782	0.708	1.413	4036
Blood pressure abnormal	42	42	18	24	42.857	0.758	0.672	1.561	2818
Musculoskeletal disorder	42	42	15	27	35.714	0.900	0.801	1.826	8630
Haemorrhage intracranial	41	41	40	1	97.561	0.862	0.744	1.965	4856
Hypersomnia	41	41	22	19	53.659	0.664	0.619	1.176	2897
Arteriosclerosis coronary artery	41	41	21	20	51.220	1.062	0.951	2.670	3617
Hyperthyroidism	41	41	15	26	36.585	0.908	0.898	2.253	4385
Musculoskeletal chest pain	41	41	14	27	34.146	0.757	0.693	1.513	2663
Multi-organ failure	41	41	38	3	92.683	0.817	0.683	1.688	2293
Mental impairment	41	41	14	27	34.146	0.796	0.731	1.588	3166
Sneezing	41	41	19	22	46.341	1.073	0.849	2.308	7074
Diabetes mellitus inadequate control	41	41	32	9	78.049	0.996	0.901	2.944	3091
Glossodynia	41	41	15	26	36.585	1.627	1.107	4.745	45406
Mass	40	40	8	32	20.000	1.057	0.844	3.258	4451
C-reactive protein abnormal	40	40	21	19	52.500	1.507	1.342	3.584	29718
Middle insomnia	40	40	12	28	30.000	1.079	0.902	2.651	3758
Mydriasis	40	40	16	24	40.000	0.832	0.817	1.440	4804
Bronchospasm	40	40	21	19	52.500	0.890	0.769	2.052	3511
Haemophagocytic lymphohistiocytosis	40	40	33	7	82.500	0.910	0.836	1.627	3678
Hallucination, auditory	40	40	19	21	47.500	0.857	0.735	2.317	4712
Foetal growth restriction	40	40	16	24	40.000	1.071	0.925	2.740	2632
Asphyxia	40	40	20	20	50.000	0.884	0.800	1.972	3997
Feeling jittery	40	40	10	30	25.000	0.830	0.756	1.691	2738
Multiple sclerosis	40	40	6	34	15.000	0.873	0.788	2.233	33582
Coordination abnormal	40	40	19	21	47.500	1.227	1.183	2.722	5345
Increased appetite	40	40	11	29	27.500	1.045	0.820	2.769	4641
Blood calcium increased	40	40	10	30	25.000	1.190	1.022	2.608	3412
Osteomyelitis	40	40	32	8	80.000	0.847	0.799	1.519	6613
Pemphigoid	40	40	38	2	95.000	1.007	0.859	2.294	3551
Acute coronary syndrome	39	39	37	2	94.872	0.922	0.794	1.764	2823
Enterococcal infection	39	39	33	6	84.615	0.951	0.927	2.031	2835
Blood uric acid increased	39	39	25	14	64.103	1.084	0.994	2.320	3100
Oral pain	39	39	20	19	51.282	0.808	0.682	1.986	4087
Plasma cell myeloma	39	39	33	6	84.615	0.768	0.650	1.740	27280
Gingival bleeding	39	39	30	9	76.923	0.795	0.719	1.542	3483
Hepatitis acute	39	39	22	17	56.410	0.843	0.784	1.449	1904
Fracture	39	39	14	25	35.897	0.787	0.668	1.869	4489
Mitral valve incompetence	39	39	18	21	46.154	0.928	0.831	1.841	3118
Brain injury	39	39	31	8	79.487	0.843	0.855	1.363	2708
Muscle rigidity	39	39	33	6	84.615	0.858	0.755	2.227	2942
Foot deformity	39	39	16	23	41.026	1.092	1.000	2.190	11113
Drug dose omission	39	39	21	18	53.846	0.819	0.677	1.828	3867
Small intestinal obstruction	39	39	23	16	58.974	0.827	0.731	1.399	3005
Poisoning deliberate	39	39	16	23	41.026	0.895	0.850	1.712	3622
Substance abuse	38	38	33	5	86.842	0.842	0.740	1.537	7581
Retching	38	38	15	23	39.474	0.792	0.730	1.823	2942
Acidosis	38	38	24	14	63.158	0.893	0.823	1.708	2123
Taste disorder	38	38	29	9	76.316	1.384	1.035	3.369	8576
Apathy	38	38	20	18	52.632	0.740	0.709	1.416	2324
Pulmonary alveolar haemorrhage	38	38	31	7	81.579	1.110	0.967	2.388	3415
Kidney infection	38	38	6	32	15.789	1.008	0.825	2.626	4492
Joint range of motion decreased	38	38	28	10	73.684	1.711	1.536	3.566	31944
Device related infection	38	38	12	26	31.579	0.812	0.726	1.699	3450
COVID-19 pneumonia	38	38	17	21	44.737	0.818	0.749	1.475	3096
Upper limb fracture	38	38	12	26	31.579	0.812	0.739	1.639	3967
Toothache	38	38	5	33	13.158	0.816	0.810	1.573	3157
Motor dysfunction	38	38	14	24	36.842	1.320	1.130	2.876	3393
Tooth disorder	38	38	7	31	18.421	1.042	0.812	4.096	4856
Hepatitis C	38	38	37	1	97.368	0.961	0.806	2.355	3372
Expired product administered	38	38	8	30	21.053	0.847	0.769	2.071	4066
Spinal pain	37	37	3	34	8.108	0.786	0.689	1.418	3277
Injection site swelling	37	37	2	35	5.405	0.986	0.785	2.534	18561
Pharyngitis	37	37	11	26	29.730	1.073	0.925	2.352	4519
Hiatus hernia	37	37	9	28	24.324	0.861	0.755	1.890	2989
Head discomfort	37	37	6	31	16.216	1.084	0.945	2.681	3437
Skin reaction	37	37	13	24	35.135	0.885	0.734	2.372	4676
Hepatitis cholestatic	37	37	27	10	72.973	0.803	0.726	1.710	1854
Dermatitis bullous	37	37	26	11	70.270	0.870	0.837	1.481	1734
Blood count abnormal	37	37	6	31	16.216	0.890	0.791	2.127	2333
Abscess	37	37	17	20	45.946	0.805	0.772	1.913	2523
Tumour lysis syndrome	37	37	34	3	91.892	1.005	0.947	2.034	4778
Gastroenteritis	37	37	23	14	62.162	0.753	0.673	1.935	2103
Parosmia	37	37	1	36	2.703	1.548	1.481	3.065	3831
Sudden death	37	37	35	2	94.595	0.963	0.918	1.962	1708
Convulsion	37	37	22	15	59.459	0.755	0.706	1.376	1975
Electrocardiogram abnormal	37	37	15	22	40.541	0.837	0.800	1.786	2112
Muscle tightness	37	37	12	25	32.432	0.811	0.732	1.436	3459
Bedridden	37	37	21	16	56.757	0.838	0.672	2.158	4049
Platelet count increased	36	36	26	10	72.222	0.891	0.746	2.284	4215
Viral load increased	36	36	36	0	100.000	1.282	1.224	2.161	3737
Hemiparesis	36	36	27	9	75.000	1.007	0.817	2.177	4042
Quality of life decreased	36	36	15	21	41.667	0.788	0.742	1.764	3357
Choking	36	36	17	19	47.222	0.767	0.675	1.903	2663
Klebsiella infection	36	36	28	8	77.778	0.901	0.776	1.790	3114
Pulmonary haemorrhage	36	36	32	4	88.889	0.828	0.728	1.601	2084
Viral mutation identified	36	36	36	0	100.000	1.371	1.151	2.957	4679
Gastric haemorrhage	36	36	29	7	80.556	0.890	0.827	1.744	4128
Sinus disorder	36	36	24	12	66.667	1.035	0.821	2.423	6136
Hip fracture	36	36	19	17	52.778	0.754	0.676	1.832	4491
Tendonitis	36	36	10	26	27.778	0.980	0.950	2.293	6062
Peripheral coldness	36	36	18	18	50.000	0.783	0.729	1.409	2127
Seasonal allergy	36	36	6	30	16.667	1.128	0.958	2.696	3598
Drug withdrawal syndrome neonatal	36	36	17	19	47.222	0.864	0.784	1.724	20688
Aspergillus infection	36	36	30	6	83.333	0.878	0.843	1.503	3810
Emphysema	36	36	15	21	41.667	0.926	0.815	1.720	2815
Thirst	36	36	9	27	25.000	0.793	0.671	1.796	1866
Shock haemorrhagic	35	35	26	9	74.286	0.996	1.009	1.909	3520
Hypopnoea	35	35	0	35	0.000	1.434	1.407	2.724	3454
Hepatic encephalopathy	35	35	27	8	77.143	0.890	0.755	1.839	2843
Erythema multiforme	35	35	21	14	60.000	0.822	0.682	1.754	2186
Urosepsis	35	35	26	9	74.286	0.810	0.771	1.216	2729
Glycosylated haemoglobin increased	35	35	20	15	57.143	0.834	0.770	1.871	2330
Laryngitis	35	35	12	23	34.286	1.047	0.904	2.835	7697
Cholecystitis	35	35	18	17	51.429	0.824	0.693	1.614	2220
Spinal osteoarthritis	35	35	4	31	11.429	0.935	0.839	2.370	2532
Oesophagitis	35	35	20	15	57.143	0.839	0.731	1.546	2875
Systemic candida	35	35	31	4	88.571	1.105	0.956	2.156	2748
Thyroid disorder	35	35	14	21	40.000	0.898	0.847	2.222	4531
Vitamin D deficiency	35	35	11	24	31.429	1.170	1.074	2.890	4450
