drug_name	adverse_event	direction	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
SECUKINUMAB	Drug hypersensitivity	female_higher	0.9081042057117691	2.0000744678368343	0.8066061339068286	2258	266	2524
PREGABALIN	Drug abuse	male_higher	-0.9077295366734943	4.343342557714688	10.765792679017887	999	2331	3330
INFLIXIMAB	Hypertension	female_higher	0.9073862659989398	5.338733215760808	2.1545936263575216	4351	974	5325
ETANERCEPT	Skin exfoliation	male_higher	-0.9064525199170137	0.4992593192923989	1.2359289575104768	834	491	1325
SECUKINUMAB	Mobility decreased	female_higher	0.9063132779618135	6.925496075529345	2.797976303161521	2463	435	2898
ETANERCEPT	Gait inability	female_higher	0.9061544699706634	4.154127112126417	1.6785794243217427	2620	284	2904
DUPILUMAB	Rebound eczema	male_higher	-0.9051466901821845	2230.7579394200693	5515.090713393895	1141	816	1957
ADALIMUMAB	Epilepsy	female_higher	0.9051128455949335	1.8142500459316262	0.7338573163912616	895	221	1116
DICLOFENAC	Dyspnoea	female_higher	0.9049447851397445	2.880933447627658	1.1655226001505032	3221	572	3793
MINOXIDIL	Application site pain	male_higher	-0.9049139369104	18.8601901041693	46.61709380965928	600	1019	1619
BOTULINUM TOXIN	Swelling face	female_higher	0.9045841906886111	6.143848898978814	2.486477901121874	1075	37	1112
ETANERCEPT	Amnesia	female_higher	0.9043148048190788	1.2602878620090767	0.5101886865614824	1261	150	1411
NAPROXEN	Pain	female_higher	0.9043029800972353	2.8947925944702315	1.1718813931985934	3335	463	3798
ABATACEPT	Lung disorder	female_higher	0.9038938880946226	7.238957608769533	2.9317025555483323	1530	114	1644
PALBOCICLIB	Full blood count abnormal	female_higher	0.9035824822015988	28.51703662128395	11.552700309368534	1125	13	1138
TOCILIZUMAB	Liver function test increased	female_higher	0.9035537041998603	13.613485728428806	5.515196018755333	1096	107	1203
ESOMEPRAZOLE	Fall	female_higher	0.902111784384115	1.9613178278420096	0.7957301358520728	1269	256	1525
NAPROXEN	Dyspepsia	female_higher	0.9017586660948076	7.360078530178747	2.9871266431698023	1257	163	1420
TOFACITINIB	Gait inability	female_higher	0.9017401574530295	7.768352401038225	3.1528850994593123	1847	146	1993
CETIRIZINE	Off label use	female_higher	0.9015026955569688	5.7037425463310605	2.3154865793117545	5209	788	5997
OXYBUTYNIN	Drug ineffective	female_higher	0.9013393789171066	6.286512615339701	2.552484260849354	2745	177	2922
METHOTREXATE	Liver function test increased	female_higher	0.9010419055668264	15.185315286047791	6.16745921005936	2052	371	2423
RITUXIMAB	Headache	female_higher	0.9004704767413407	2.0293499926310132	0.8246840500485279	6262	1008	7270
DICLOFENAC	Paraesthesia	female_higher	0.9000161098936141	3.8957467100374794	1.5838668982027369	1363	163	1526
HYDROMORPHONE	Malaise	female_higher	0.8998986712264884	1.2269704660142893	0.49889951519403014	878	259	1137
PARACETAMOL	Anxiety	female_higher	0.8998571625462732	1.366256115595869	0.5555576328068706	1437	209	1646
OXYCODONE;PARACETAMOL	Ill-defined disorder	female_higher	0.8997922911544869	23.697391801454504	9.636641929364536	1561	555	2116
TOFACITINIB	Synovitis	female_higher	0.8997715207692139	69.87335643159881	28.414878217235643	5940	252	6192
PEGFILGRASTIM	Device adhesion issue	male_higher	-0.8997051959073072	882.4448503291987	2169.8243319022677	6197	3498	9695
OXYCODONE	Vomiting	female_higher	0.8996296056717032	1.81634744828716	0.7387453404362653	3243	1100	4343
CELECOXIB	Fatigue	female_higher	0.8995253734749474	2.301512409533956	0.9361693426060169	2366	269	2635
MYCOPHENOLIC ACID	Treatment failure	female_higher	0.8993304301283582	8.34378092545868	3.394600333152904	1249	452	1701
ETANERCEPT	Decreased appetite	female_higher	0.8989823171050124	0.812272293379212	0.33058152597025287	3117	455	3572
SODIUM AUROTHIOMALATE	Arthropathy	male_higher	-0.8986732651716247	120.5005793849133	295.9906382423676	963	190	1153
SOMATROPIN	Device physical property issue	male_higher	-0.8985128028155831	100.07052260739584	245.76799135136133	741	1481	2222
CERTOLIZUMAB	Infection	female_higher	0.8975833924577505	9.496560453845422	3.870355189644948	4769	435	5204
TOCILIZUMAB	Muscular weakness	female_higher	0.8973467034231375	3.5483318623445186	1.4464769231026182	1418	136	1554
LEUPRORELIN	Pain	female_higher	0.8969871622915928	1.709220797396457	0.6970141482374506	909	958	1867
DICLOFENAC	Malaise	female_higher	0.8964788110009161	2.4478542017894047	0.9987337960964424	2519	336	2855
ETANERCEPT	Vomiting	female_higher	0.8955360142332385	0.8659318147618105	0.3536367142932958	7218	657	7875
ALENDRONIC ACID	Sleep disorder	female_higher	0.8954106175825451	18.442373216774605	7.532600180157585	1717	50	1767
HYDROXYCHLOROQUINE	Sleep disorder due to general medical condition, insomnia type	female_higher	0.8950450217236234	175.3136570539841	71.63126738205301	1867	79	1946
RAMIPRIL	Vomiting	female_higher	0.8948533613825453	4.019295045614406	1.6425553412029132	1478	399	1877
OXYCODONE	Memory impairment	female_higher	0.8948374797181046	2.1834769516707113	0.8923302838952407	1301	465	1766
VITAMIN D3	Drug ineffective	female_higher	0.8946257503706805	4.90073232176649	2.0032260319072708	2015	329	2344
TOFACITINIB	Abdominal discomfort	female_higher	0.8945178777946399	5.99634063426323	2.451331903892169	6542	494	7036
DOXYCYCLINE	Drug hypersensitivity	female_higher	0.8940682529737789	10.381967256170295	4.2461051630091795	1542	182	1724
CICLOSPORIN	Vision blurred	female_higher	0.8940114707102986	5.887705918151507	2.4081407181349026	1330	282	1612
FAMPRIDINE	Multiple sclerosis relapse	male_higher	-0.8934255780199694	14.331585325983665	35.01902354218386	2554	912	3466
BEVACIZUMAB	Malignant neoplasm progression	female_higher	0.8925453466568103	5.634772685097083	2.3080694985091683	935	502	1437
MYCOPHENOLIC ACID	Vomiting	female_higher	0.8920521923924696	1.8575230744753595	0.7612387240121447	1626	454	2080
TERIFLUNOMIDE	Multiple sclerosis relapse	male_higher	-0.8917353201728639	32.52624863211142	79.34319894754783	3852	953	4805
PANTOPRAZOLE	Paraesthesia	female_higher	0.8912788253399243	2.817980476242981	1.1557409574411737	895	153	1048
MORPHINE	Weight decreased	female_higher	0.8912687619920253	1.9109396964122456	0.7837433646169298	975	469	1444
BRIMONIDINE	Treatment failure	male_higher	-0.8908889515819052	59.69787011954205	145.50133982006318	1616	1153	2769
RITUXIMAB	Red blood cell sedimentation rate increased	female_higher	0.8908120391941798	40.85116541570324	16.762149034560544	1624	237	1861
PANTOPRAZOLE	Insomnia	female_higher	0.8898492395104376	1.8800640263564918	0.7721755127495193	917	210	1127
INFLIXIMAB	Insomnia	female_higher	0.8897818970747203	1.7404751773051288	0.7148920471276743	1980	395	2375
ERENUMAB	Fatigue	female_higher	0.889573044006186	0.9216440717494082	0.3786400681940967	1436	80	1516
RANITIDINE	Testis cancer	female_higher	0.8894442307126074	310.1952485067919	127.45427876908325	17	2419	2436
BUPRENORPHINE	Confusional state	female_higher	0.8894175512343332	3.1011690269505707	1.2742548732513796	818	310	1128
