drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
CERTOLIZUMAB	Wound	3.750	4811	23	52.500	1.235	female_higher	3.750
TESTOSTERONE	Accidental exposure to product	3.747	294	118	33.639	0.793	female_higher	3.747
SECUKINUMAB	Intentional product use issue	3.742	1458	25	4.332	0.103	female_higher	3.742
CHLORHEXIDINE	Pain	3.737	2941	10	22.209	0.529	female_higher	3.737
RITUXIMAB	Hypercholesterolaemia	3.733	1143	17	40.559	0.970	female_higher	3.733
OXYCODONE;PARACETAMOL	Arthropathy	3.725	1305	19	11.991	0.289	female_higher	3.725
BREMELANOTIDE	Off label use	-3.721	30	23	1.077	44.490	male_higher	3.721
SODIUM PICOSULFATE	Abdominal pain	-3.720	15	174	2.985	123.150	male_higher	3.720
OXYCODONE	Drug-induced liver injury	3.717	402	14	3.836	0.093	female_higher	3.717
ANAKINRA	Diverticulitis	-3.713	23	322	2.065	84.627	male_higher	3.713
TRASTUZUMAB	Incorrect dose administered	-3.711	23	73	0.048	1.950	male_higher	3.711
SULFAMETHOXAZOLE;TRIMETHOPRIM	Impaired healing	3.708	2021	29	68.097	1.671	female_higher	3.708
TOCILIZUMAB	Pericarditis	3.707	4366	33	137.007	3.364	female_higher	3.707
OXYCODONE	Nasopharyngitis	3.705	2940	60	3.650	0.090	female_higher	3.705
SALBUTAMOL	Mycotic allergy	-3.702	19	219	10.530	426.941	male_higher	3.702
RAMIPRIL	Liver injury	3.702	755	18	48.026	1.185	female_higher	3.702
DOCETAXEL	Anxiety	3.702	4378	26	7.566	0.187	female_higher	3.702
TESTOSTERONE	Accidental exposure to product by child	3.700	28	22	58.129	1.437	female_higher	3.700
SULFASALAZINE	Pulmonary thrombosis	-3.691	23	183	1.342	53.809	male_higher	3.691
GOLIMUMAB	Liver injury	3.690	1854	16	42.805	1.069	female_higher	3.690
USTEKINUMAB	Injury	3.689	1740	26	13.944	0.348	female_higher	3.689
RITUXIMAB	Back injury	3.684	646	11	15.559	0.391	female_higher	3.684
PREDNISONE	Hand deformity	3.683	5354	29	154.552	3.885	female_higher	3.683
METHYLPREDNISOLONE	Wound	3.682	1009	13	20.062	0.505	female_higher	3.682
GOLIMUMAB	Blood cholesterol increased	3.682	2217	12	22.153	0.558	female_higher	3.682
ESTRADIOL	Heart rate decreased	-3.680	12	11	0.257	10.196	male_higher	3.680
FUROSEMIDE	Creatinine renal clearance decreased	3.680	463	12	146.135	3.686	female_higher	3.680
HYDROCORTISONE	Discomfort	3.679	1842	18	43.370	1.095	female_higher	3.679
DICLOFENAC	Blood cholesterol increased	3.678	2408	21	29.368	0.742	female_higher	3.678
MYCOPHENOLIC ACID	Injury	3.676	795	17	7.743	0.196	female_higher	3.676
ESTRADIOL	Meningioma	-3.675	230	42	24.332	960.033	male_higher	3.675
