kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:LACTITOL,LACTITOL,CHEMBL1661,A06AD12,lactitol,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AD,Osmotically acting laxatives,ChEMBL_36
DRUG:LACTULOSE,LACTULOSE,CHEMBL296306,A06AD61,"lactulose, combinations",A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AD,Osmotically acting laxatives,ChEMBL_36
DRUG:LACTULOSE,LACTULOSE,CHEMBL296306,A06AD11,lactulose,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AD,Osmotically acting laxatives,ChEMBL_36
DRUG:LAMIVUDINE,LAMIVUDINE,CHEMBL141,J05AF05,lamivudine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,ChEMBL_36
DRUG:LAMOTRIGINE,LAMOTRIGINE,CHEMBL741,N03AX09,lamotrigine,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AX,Other antiepileptics,ChEMBL_36
DRUG:LANADELUMAB,LANADELUMAB,CHEMBL3545189,B06AC05,lanadelumab,B,BLOOD AND BLOOD FORMING ORGANS,B06,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06AC,Drugs used in hereditary angioedema,ChEMBL_36
DRUG:LANDIOLOL,LANDIOLOL,CHEMBL1742466,C07AB14,landiolol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",ChEMBL_36
DRUG:LANREOTIDE,LANREOTIDE,CHEMBL1201185,H01CB03,lanreotide,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01C,HYPOTHALAMIC HORMONES,H01CB,Somatostatin and analogues,ChEMBL_36
DRUG:LANSOPRAZOLE,LANSOPRAZOLE,CHEMBL480,A02BC03,lansoprazole,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC,Proton pump inhibitors,ChEMBL_36
DRUG:LANSOPRAZOLE,LANSOPRAZOLE,CHEMBL480,A02BC53,"lansoprazole, combinations",A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC,Proton pump inhibitors,ChEMBL_36
