drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
HYDROXYCHLOROQUINE	Wound	44.73037634168791	1.2120267703929801	3.6083588558535866	2997	17
ACETAMINOPHEN\CODEINE PHOSPHATE	Impaired healing	43.75368550001776	1.1869394980500703	3.607197705399266	1920	19
SECUKINUMAB	Intentional product use issue	4.3912673542127765	0.11996675035254689	3.6001585315778444	1530	30
INFLIXIMAB	Helicobacter infection	141.18582916271566	3.8616794457320043	3.5989747815647157	3649	33
CHLORHEXIDINE	Hypersensitivity	53.00001243849693	1.4521986068824264	3.5972134595923944	2169	17
TESTOSTERONE ENANTHATE	Nasopharyngitis	34.34011108401745	0.9441567548592893	3.593777163038484	22	10
RAMIPRIL	C-reactive protein abnormal	44.33641388627261	1.2207498866484712	3.5923409921904965	885	11
FOLIC ACID	Folliculitis	68.98484164382869	1.9227238991194884	3.5801439160440496	2962	34
LEFLUNOMIDE	Pericarditis	173.03522908274235	4.849836243838496	3.5745502698607896	4758	36
SULFAMETHOXAZOLE\TRIMETHOPRIM	Psoriatic arthropathy	7.022714199139189	0.19710911776830867	3.5731475876540806	1003	20
BUPRENORPHINE	Epilepsy	12.413990563483992	0.34860581168559585	3.57263758237324	599	17
MYCOPHENOLATE MOFETIL	Anti-erythropoietin antibody negative	1928.60724524368	54.18672914082025	3.5721173581419614	34	10
USTEKINUMAB	Joint range of motion decreased	36.733067648285925	1.034203969946891	3.570045355582085	1299	14
ETANERCEPT	Helicobacter infection	36.10181238664584	1.01699557806554	3.569490299656035	3628	19
ANTIHEMOPHILIC FACTOR PORCINE, B-DOMAIN TRUNCATED RECOMBINANT	Anti factor VIII antibody positive	195185.0669642857	5503.18118466899	3.5686218476013	15	24
TOCILIZUMAB	Discomfort	19.700107370450482	0.5561110380679102	3.567411381921224	4557	27
SULFAMETHOXAZOLE	Arthropathy	91.01985352641154	2.5818510474760474	3.5625710513970246	1493	16
LEFLUNOMIDE	Obesity	36.001724857151935	1.0219289998367511	3.5618748324227627	1205	14
HYDROXYCHLOROQUINE SULFATE	Folliculitis	120.43986368074661	3.439140193678378	3.5559290753231787	2570	10
MYCOPHENOLATE MOFETIL	Wheezing	7.651872816168827	0.22122780009982113	3.5435127691080526	926	22
DESOXIMETASONE	Wound	515.115294397907	14.893638333511438	3.5434565839286347	5108	26
GOLIMUMAB	Type 2 diabetes mellitus	33.53371677861056	0.9708698486866971	3.5421142617844423	2614	14
SULFAMETHOXAZOLE\TRIMETHOPRIM	Irritable bowel syndrome	33.32246801295946	0.9657922463250396	3.541038418388102	2168	28
DICLOFENAC POTASSIUM	General physical health deterioration	49.90323127420491	1.449111695601697	3.539135010676119	1457	11
ASCORBIC ACID	Pericarditis	31.9063210039673	0.9278742522494541	3.5376632001751243	1547	14
TRIAMCINOLONE	Obesity	45.0173668120234	1.3101197665896673	3.5369297865632237	342	11
DESOXIMETASONE	Infusion related reaction	191.80510704132416	5.582104552179609	3.53691392382965	4674	22
ACEBUTOLOL HYDROCHLORIDE	Constipation	49.24769455198323	1.43688686523115	3.534383681229832	470	10
INFLIXIMAB	Prescribed underdose	8.179470827266973	0.23917279975883007	3.5321964342332772	858	14
CALCIUM GLUCONATE	Product use issue	17.736892482916925	0.5266537901289674	3.5168586825153705	706	12
CERTOLIZUMAB PEGOL	Wound	56.9159587589188	1.696742455768916	3.512865561779009	5252	33
