pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
Postoperative wound infection	51	51	0.0824643540581977	0.5116919766262698	51	26	25	1.4526687273721515
Postrenal failure	1	1	1.6440259924169691	1.6440259924169691	1	1	0	1.6440259924169691
Postural orthostatic tachycardia syndrome	4	4	-0.855566440349496	-0.9149064950535968	4	0	4	1.0554926573446706
Posture abnormal	28	28	-0.2291336877352938	-0.5764648560105062	28	9	19	1.4495104602074111
Posturing	1	1	0.8348427558739968	0.8348427558739968	1	1	0	0.8348427558739968
Potentiating drug interaction	35	35	0.19964486237740853	0.566682177881716	35	22	13	1.450511202754467
Pouchitis	4	4	-0.7968351833587918	-0.7895891745576813	4	0	4	1.0227796198558619
Pre-engraftment immune reaction	8	8	1.458557835217245	1.422407268376456	8	8	0	2.461079815091844
Pre-existing condition improved	49	49	0.3738945589128605	0.6486883333260409	49	37	12	1.6340736520893697
Precancerous cells present	2	2	-0.8070320885311748	-0.8070320885311748	2	0	2	0.8947419261905039
Precancerous condition	3	3	-0.8130370230901537	-1.0447849014460882	3	1	2	1.9923722986096994
Precancerous skin lesion	5	5	-0.13386870639720744	-0.5356366917544176	5	2	3	0.9325306359138824
Precocious puberty	2	2	1.5601360182199446	1.5601360182199446	2	2	0	1.8617393674260088
Pregnancy	4	4	-3.1822165693570885	-3.1677856768061816	4	0	4	3.7452923100019735
Premature baby	167	167	0.10058506100808493	0.5874750423397159	167	101	66	6.353023897595474
Premature delivery	2	2	-1.2095410917289922	-1.2095410917289922	2	0	2	1.3999522688388915
