drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	68	68	0.7533651124468097	68	56	12	2.29851696816008
COMBIVENT INHALATION AEROSOL	1	1	-1.4105914762116656	1	0	1	1.4105914762116656
COMIRNATY MONOVALENT	1	1	-1.7202473176350819	1	0	1	1.7202473176350819
COPPER	13	13	-2.0701599478820927	13	1	12	4.052551735959944
COPPERTONE KIDS CONTINUOUS SPRAY SPF-50	1	1	-0.8113301604916079	1	0	1	0.8113301604916079
COPPERTONE WATER BABIES QUICK COVER LOTION SPRAY SPF-50	1	1	-0.9183936763500021	1	0	1	0.9183936763500021
CORTICOSTEROID NOS	22	22	0.14118332135857492	22	13	9	1.0727571279001817
CORTICOTROPIN	51	51	-0.398757155340234	51	11	40	1.5645884733571258
CORTISONE	266	266	0.07373141816296971	266	131	135	3.014240555640228
CORTISONE ACETATE	77	77	0.7201166614665583	77	52	25	4.31175359837928
COSMETICS	32	32	-0.6300885216404555	32	4	28	1.8050369761518783
COUMADIN /00014802/	9	9	-0.8157963684571683	9	0	9	1.2026178907490774
COUMADIN TABS 5 MG	1	1	0.6067366376434822	1	1	0	0.6067366376434822
COUMADIN ^BOOTS^	27	27	-0.984893704839751	27	0	27	1.6271870784354436
COVID VACCINE	2	2	-0.739566344066574	2	0	2	0.810820089452307
COVID-19 VACCINE	31	31	-0.4188271593936301	31	7	24	1.5321661793673238
COVID-19 VACCINE NOS	40	40	-0.11019326710250683	40	18	22	1.8270227233854073
COVID?19 VACCINE	16	16	-0.6177102333202857	16	1	15	1.0113126540575736
CPAP MACHINE	1	1	-0.6288156719364935	1	0	1	0.6288156719364935
CRANBERRY	27	27	-0.398460754654615	27	7	20	2.2794804517932423
CREATINE	4	4	0.6399558136672335	4	2	2	2.383045781459231
CRISABOROLE	23	23	-0.7776528874508708	23	0	23	1.4448942726185177
CRIZANLIZUMAB-TMCA	3	3	-0.23041108849284442	3	1	2	0.7885570883334926
CRIZOTINIB	38	38	0.12697536438039098	38	23	15	1.3582178809029246
CROMOLYN	6	6	-0.7705171161351919	6	1	5	1.5396540668054959
CROMOLYN SODIUM	16	16	-0.371655272930247	16	6	10	1.7652635488653585
CROTALIDAE POLYVALENT IMMUNE FAB (OVINE)	1	1	0.5823039593214154	1	1	0	0.5823039593214154
CROTAMITON	1	1	-0.8392572267831956	1	0	1	0.8392572267831956
CUPRIC OXIDE\FOLIC ACID\NIACIN\ZINC OXIDE	3	3	-3.03798500576104	3	0	3	4.080811255843322
CURCUMIN	4	4	0.36307251557199927	4	3	1	0.7337264182468483
CX-024414	11	11	-0.6655069652661243	11	0	11	0.969825645506451
CYAMEMAZINE	66	66	0.6469214204576782	66	59	7	1.6116606956736663
CYANOCOBALAMIN	363	363	0.165291129949521	363	217	146	4.11003243759746
CYANOCOBALAMIN\DEXPANTHENOL\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN 5'-PHOSPHATE SODIUM\THIAMINE HYDROCHLORIDE\VITAMIN B COMPLEX	135	135	0.00665594363847328	135	72	63	2.356847189601063
CYANOCOBALAMIN\DEXPANTHENOL\NIACINAMIDE\PYRIDOXINE HYDROCHLORIDE\RIBOFLAVIN 5^-PHOSPHATE SODIUM\THIAMINE HYDROCHLORIDE\VITAMIN B COMPLEX	3	3	-0.7605424869232337	3	0	3	0.9787125216334834
CYANOCOBALAMIN\FOLIC ACID	3	3	-0.35313346850505933	3	1	2	1.045573566613819
CYANOCOBALAMIN\FOLIC ACID\PYRIDOXINE	1	1	-1.0141760213570463	1	0	1	1.0141760213570463
CYANOCOBALAMIN\FOLIC ACID\PYRIDOXINE HYDROCHLORIDE	3	3	-0.6337025273329665	3	0	3	0.7992033710918851
CYANOCOBALAMIN\PYRIDOXINE HYDROCHLORIDE\THIAMINE	4	4	0.7176690691009933	4	3	1	1.6468781142040607
