drug	n_signals	n_ae	n_trials	signal_rate
DRUG:OXYCODONE HYDROCHLORIDE	67	359	0	0.18662952646239556
DRUG:PRAVASTATIN	67	437	0	0.15331807780320367
DRUG:OFATUMUMAB	67	741	0	0.09041835357624832
DRUG:PHENOBARBITAL	66	363	0	0.18181818181818182
DRUG:LOPINAVIR;RITONAVIR	66	380	0	0.1736842105263158
DRUG:CALCIUM;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	66	413	0	0.15980629539951574
DRUG:RABEPRAZOLE	65	452	0	0.14380530973451328
DRUG:ETHANOL	65	316	1	0.20569620253164558
DRUG:COCAINE	65	361	0	0.18005540166204986
DRUG:CLOBAZAM	64	437	0	0.14645308924485126
DRUG:VEMURAFENIB	64	311	0	0.2057877813504823
DRUG:NORTRIPTYLINE	64	329	0	0.1945288753799392
DRUG:AXITINIB	64	466	0	0.13733905579399142
DRUG:PEGINTERFERON ALFA-2B	64	395	0	0.1620253164556962
DRUG:EPOPROSTENOL	64	781	0	0.08194622279129321
DRUG:UNSATURATED FATTY ACIDS	64	471	0	0.13588110403397027
DRUG:TERBINAFINE	63	380	0	0.16578947368421051
DRUG:ATORVASTATIN CALCIUM	63	380	0	0.16578947368421051
DRUG:GANCICLOVIR	63	286	0	0.2202797202797203
DRUG:ETHAMBUTOL	63	324	0	0.19444444444444445
DRUG:VALGANCICLOVIR	62	423	0	0.14657210401891252
DRUG:OXYBUTYNIN	62	313	0	0.19808306709265175
DRUG:NIRMATRELVIR;RITONAVIR	62	530	0	0.1169811320754717
DRUG:DONEPEZIL	62	402	0	0.15422885572139303
DRUG:AXICABTAGENE CILOLEUCEL	62	246	0	0.25203252032520324
DRUG:VERAPAMIL	62	458	0	0.13537117903930132
DRUG:RANIBIZUMAB	62	408	0	0.15196078431372548
DRUG:THALIDOMIDE	62	542	0	0.11439114391143912
DRUG:ALTEPLASE	62	232	0	0.2672413793103448
DRUG:INDAPAMIDE	62	379	0	0.16358839050131926
DRUG:BLEOMYCIN	61	308	0	0.19805194805194806
DRUG:BRENTUXIMAB VEDOTIN	61	377	0	0.16180371352785147
DRUG:ESOMEPRAZOLE MAGNESIUM	61	424	0	0.14386792452830188
DRUG:PIOGLITAZONE	61	247	0	0.24696356275303644
DRUG:DURVALUMAB	61	385	0	0.15844155844155844
DRUG:VORTIOXETINE	61	420	0	0.14523809523809525
DRUG:KETOROLAC	60	365	0	0.1643835616438356
DRUG:MULTIENZYMES	60	581	0	0.10327022375215146
DRUG:NIFEDIPINE	60	416	0	0.14423076923076922
DRUG:INFLUENZA VACCINE	60	423	0	0.14184397163120568
DRUG:KETOPROFEN	59	315	0	0.1873015873015873
DRUG:METFORMIN HYDROCHLORIDE	59	415	0	0.14216867469879518
DRUG:C1-INHIBITOR	59	432	0	0.13657407407407407
DRUG:TOBRAMYCIN	59	349	0	0.16905444126074498
DRUG:DARUNAVIR	58	386	0	0.15025906735751296
DRUG:ALBENDAZOLE	58	114	0	0.5087719298245614
DRUG:DALTEPARIN	58	300	3	0.19333333333333333
DRUG:BECLOMETASONE	58	344	0	0.1686046511627907
DRUG:METFORMIN;SITAGLIPTIN	58	463	0	0.12526997840172785
DRUG:CHLORPROMAZINE	57	294	0	0.19387755102040816
DRUG:FENOFIBRATE	57	417	0	0.1366906474820144
DRUG:AFLIBERCEPT	57	335	0	0.1701492537313433
DRUG:BISACODYL	57	287	0	0.1986062717770035
DRUG:SUMATRIPTAN	57	515	0	0.11067961165048544
DRUG:DAPTOMYCIN	56	321	0	0.17445482866043613
DRUG:ERYTHROMYCIN	55	429	0	0.1282051282051282
DRUG:FORMOTEROL	55	398	0	0.13819095477386933
DRUG:DEFERASIROX	55	417	0	0.13189448441247004
DRUG:INDOMETACIN	55	354	0	0.1553672316384181
DRUG:EFAVIRENZ;EMTRICITABINE;TENOFOVIR	54	326	0	0.1656441717791411
